Fit             Iteration       K1              K2              alpha           
1.62616000e+00  gen3perm11      1.52694000e-01  3.53946722e+03  1.27861200e+00  
1.63386100e+00  gen7perm44      1.38388000e-01  1.43381420e+03  8.69897000e-01  
1.64182300e+00  gen8perm29      1.38388000e-01  1.43381420e+03  9.53202000e-01  
1.65057400e+00  gen9perm44      9.76992000e-01  1.35715396e+03  8.43153000e-01  
1.66413600e+00  gen8perm11      9.39869000e-01  1.23443437e+03  9.53202000e-01  
1.73473900e+00  gen8perm33      1.38388000e-01  1.43381420e+03  7.37998000e-01  
1.73893100e+00  gen5perm5       7.75400000e-03  3.27176412e+03  9.53202000e-01  
1.75143000e+00  gen5perm33      9.91236000e-01  1.43381420e+03  1.33205000e+00  
1.75576300e+00  gen3perm5       3.77260000e-02  3.92370426e+03  9.22038000e-01  
1.77148400e+00  gen10perm33     9.91236000e-01  1.35715396e+03  1.33205000e+00  
1.77169200e+00  gen1perm5       1.85886600e+00  1.27608923e+03  1.43292200e+00  
1.77298600e+00  gen2perm5       4.93660000e-02  6.01083100e+00  8.29810000e-01  
1.77420000e+00  gen4perm33      9.91236000e-01  1.27608923e+03  9.53202000e-01  
1.77727700e+00  gen7perm5       1.38388000e-01  1.43381420e+03  8.17278000e-01  
1.79728800e+00  gen9perm5       9.91236000e-01  1.35715396e+03  1.33205000e+00  
1.79841800e+00  gen6perm5       5.80741000e-01  1.67609948e+02  1.22640600e+00  
1.80046100e+00  gen4perm5       2.13254000e-01  3.31035123e+03  9.22038000e-01  
1.81276800e+00  gen2perm33      1.15951000e-01  6.20269277e+02  1.21796600e+00  
1.81872100e+00  gen1perm33      5.70400000e-02  1.40471010e+01  6.65100000e-01  
1.82095100e+00  gen8perm5       9.39869000e-01  1.43381420e+03  9.84040000e-01  
1.82396200e+00  gen3perm33      4.23058000e-01  9.36590530e+01  6.29730000e-01  
1.82480200e+00  gen10perm5      9.91236000e-01  1.43381420e+03  9.53202000e-01  
1.85085000e+00  gen1perm36      8.58144000e-01  3.92370426e+03  1.27861200e+00  
1.86218700e+00  gen9perm36      9.76992000e-01  1.35715396e+03  9.53202000e-01  
1.87269200e+00  gen7perm36      9.91236000e-01  1.43381420e+03  8.69897000e-01  
1.87487200e+00  gen5perm36      7.79200000e-03  2.86475850e+03  1.43292200e+00  
1.87536000e+00  gen8perm36      9.91236000e-01  1.43381420e+03  1.33205000e+00  
1.88070700e+00  gen2perm36      1.50757530e+01  1.02319500e+00  1.05215400e+00  
1.88249600e+00  gen3perm36      8.58144000e-01  1.43381420e+03  1.37538200e+00  
1.88408700e+00  gen4perm36      9.91236000e-01  1.43381420e+03  7.95502000e-01  
1.88442700e+00  gen9perm33      8.05847000e-01  1.57973638e+02  1.33205000e+00  
1.88466800e+00  gen7perm33      1.38388000e-01  2.86475850e+03  8.69897000e-01  
1.89038300e+00  gen6perm36      9.91236000e-01  1.43381420e+03  9.53202000e-01  
1.89190900e+00  gen10perm36     8.98074000e-01  1.35715396e+03  9.53202000e-01  
1.89399600e+00  gen4perm26      9.39869000e-01  6.36473046e+02  1.39898900e+00  
1.90597000e+00  gen4perm43      1.08616000e-01  6.36342700e+00  1.16660000e+00  
1.90977100e+00  gen9perm26      9.91236000e-01  1.35715396e+03  9.53202000e-01  
1.91448900e+00  gen1perm26      7.39350000e-02  5.30455337e+02  1.21796600e+00  
1.91613400e+00  gen2perm26      2.82469800e+01  1.67609948e+02  9.84421000e-01  
1.91636900e+00  gen8perm43      9.91236000e-01  1.43381420e+03  1.33205000e+00  
1.91874500e+00  gen6perm26      9.91236000e-01  1.67609948e+02  1.33205000e+00  
1.92217000e+00  gen8perm26      9.91236000e-01  1.00342485e+03  1.33205000e+00  
1.92477400e+00  gen7perm43      7.79200000e-03  2.86475850e+03  1.11058800e+00  
1.93003500e+00  gen3perm43      2.58260000e-02  4.03246300e+00  1.20612900e+00  
1.93294000e+00  gen3perm26      4.23058000e-01  3.15215591e+03  1.30633800e+00  
1.93378000e+00  gen1perm25      5.80741000e-01  3.31035123e+03  1.30633800e+00  
1.93623900e+00  gen7perm26      9.39869000e-01  1.22448720e+03  8.17278000e-01  
1.93911900e+00  gen1perm43      3.16930000e-02  2.73919869e+02  1.17061800e+00  
1.93991400e+00  gen6perm33      1.38388000e-01  1.67609948e+02  8.69897000e-01  
1.94120200e+00  gen6perm43      9.91236000e-01  1.43381420e+03  9.53202000e-01  
1.94346800e+00  gen5perm43      5.80741000e-01  2.86475850e+03  1.40829400e+00  
1.94434700e+00  gen5perm26      5.80741000e-01  2.86475850e+03  1.33205000e+00  
1.94726900e+00  gen6perm25      9.91236000e-01  1.67609948e+02  9.53202000e-01  
1.94759800e+00  gen5perm25      4.85985000e-01  2.86475850e+03  1.33205000e+00  
1.94881100e+00  gen8perm25      1.38388000e-01  1.57973638e+02  1.33205000e+00  
1.94950000e+00  gen9perm43      9.76992000e-01  1.57973638e+02  9.53202000e-01  
1.95189700e+00  gen10perm26     9.79374000e-01  1.57973638e+02  1.33205000e+00  
1.95794000e+00  gen2perm43      1.24874600e+00  3.92370426e+03  9.22038000e-01  
1.96135000e+00  gen2perm25      1.06737800e+00  6.23771431e+02  8.29810000e-01  
1.97589500e+00  gen9perm25      9.91236000e-01  1.43381420e+03  8.54996000e-01  
