Fit             Iteration       K1              K2              alpha           
1.55288000e-01  1755            6.65290000e-02  2.71134260e+01  7.28564000e-01  
1.55304000e-01  1526            7.58700000e-02  2.69911740e+01  7.28564000e-01  
1.55321000e-01  2032            7.39520000e-02  3.08858430e+01  7.10280000e-01  
1.55337000e-01  2545            7.35900000e-02  2.84186590e+01  7.31048000e-01  
1.55573000e-01  1141            7.10310000e-02  2.58864490e+01  7.28564000e-01  
1.55759000e-01  2691            6.98950000e-02  2.78695090e+01  7.28564000e-01  
1.55804000e-01  1977            6.98950000e-02  2.75414820e+01  7.28564000e-01  
1.55826000e-01  2680            7.80510000e-02  3.11676580e+01  7.28564000e-01  
1.55858000e-01  2080            7.35900000e-02  2.78695090e+01  7.28564000e-01  
1.55885000e-01  1676            7.10310000e-02  2.78695090e+01  7.28564000e-01  
1.55944000e-01  2508            7.35900000e-02  2.71315690e+01  7.30004000e-01  
1.56198000e-01  2248            7.33100000e-02  2.89395920e+01  7.31048000e-01  
1.56217000e-01  1869            6.98950000e-02  2.71315690e+01  7.30004000e-01  
1.56218000e-01  2412            7.16160000e-02  2.79321100e+01  7.28564000e-01  
1.56294000e-01  1612            7.10310000e-02  3.00110380e+01  7.28564000e-01  
1.56331000e-01  1719            7.39520000e-02  2.71315690e+01  7.30004000e-01  
1.56383000e-01  2638            7.35900000e-02  3.11676580e+01  7.30004000e-01  
1.56542000e-01  1764            6.98950000e-02  2.75414820e+01  7.28564000e-01  
1.56580000e-01  2393            7.69760000e-02  2.89395920e+01  7.28564000e-01  
1.56581000e-01  2592            7.12340000e-02  2.95089010e+01  7.28564000e-01  
1.56657000e-01  2172            7.16160000e-02  2.78695090e+01  7.28564000e-01  
1.56708000e-01  1922            7.50060000e-02  2.64338820e+01  7.31048000e-01  
1.56716000e-01  1230            7.10900000e-02  2.58864490e+01  7.28564000e-01  
1.56769000e-01  1616            6.98950000e-02  2.70244160e+01  7.28564000e-01  
1.56933000e-01  1499            6.98950000e-02  2.78695090e+01  7.28564000e-01  
1.56948000e-01  2386            7.68060000e-02  3.12576640e+01  7.28564000e-01  
1.56971000e-01  1013            5.84510000e-02  2.37269180e+01  7.10280000e-01  
1.57001000e-01  2141            7.35900000e-02  2.75414820e+01  7.28564000e-01  
1.57001000e-01  2422            7.81830000e-02  2.84186590e+01  7.28564000e-01  
1.57005000e-01  1407            6.22130000e-02  2.48816730e+01  7.10955000e-01  
1.57053000e-01  2056            7.35900000e-02  2.91459810e+01  7.30004000e-01  
1.57071000e-01  2340            7.12340000e-02  2.88465700e+01  7.28564000e-01  
1.57172000e-01  2033            6.98950000e-02  2.78695090e+01  7.28564000e-01  
1.57204000e-01  2475            6.71630000e-02  2.76714080e+01  7.28564000e-01  
1.57241000e-01  1932            7.66720000e-02  2.84186590e+01  7.28564000e-01  
1.57262000e-01  2392            7.84230000e-02  2.94104810e+01  7.30004000e-01  
1.57287000e-01  2228            5.74760000e-02  2.79321100e+01  7.10280000e-01  
1.57298000e-01  1203            6.58310000e-02  2.59091910e+01  7.28564000e-01  
1.57311000e-01  2535            7.35900000e-02  2.75114970e+01  7.28564000e-01  
1.57328000e-01  1462            7.14020000e-02  2.78695090e+01  7.28564000e-01  
1.57371000e-01  1853            7.35900000e-02  2.78695090e+01  7.35274000e-01  
1.57441000e-01  1564            7.58700000e-02  2.69911740e+01  7.44231000e-01  
1.57446000e-01  2138            7.83380000e-02  2.71315690e+01  7.30004000e-01  
1.57633000e-01  2637            7.69760000e-02  3.07945970e+01  7.38957000e-01  
